timestamp,uso_cpu,memoria
2024-10-01T11:07:13.835702,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:07:23.838900,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:07:33.841667,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:07:43.844076,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:07:53.848281,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:08:03.849832,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:08:13.852761,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:08:23.856498,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:08:33.859287,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:08:43.862020,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:08:53.864406,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:09:03.867673,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:09:13.871061,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:09:23.873986,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:09:33.876091,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:09:43.879054,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:09:53.882365,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:10:03.885045,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:10:13.889841,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:10:23.893174,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:10:33.895365,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:10:43.897440,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:10:53.901077,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:11:03.902625,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:11:13.904918,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:11:23.907065,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:11:33.910275,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:11:43.914270,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:11:53.917658,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:12:03.922027,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:12:13.925675,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:12:23.928854,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:12:33.933259,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:12:43.935109,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:12:53.939050,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:13:03.941494,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:13:13.944669,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:13:23.949809,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:13:33.952246,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:13:43.954048,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:13:53.956752,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:14:03.959947,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:14:13.961723,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:14:23.965442,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:14:33.967343,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:14:43.970500,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:14:53.973077,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:15:03.974895,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:15:13.978034,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:15:23.981351,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:15:33.985994,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:15:43.989460,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:15:53.992673,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:16:03.994919,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:16:13.998558,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:16:24.001890,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:16:34.006392,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:16:44.009938,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:16:54.013223,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:17:04.016239,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:17:14.019597,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:17:24.023348,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:17:34.026225,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:17:44.029781,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:17:54.032629,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:18:04.036516,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:18:14.041036,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:18:24.044836,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:18:34.049451,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:18:44.052456,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:18:54.057830,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:19:04.063448,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:19:14.066763,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:19:24.069576,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:19:34.074800,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:19:44.077193,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:19:54.081133,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:20:04.085260,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:20:14.086990,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:20:24.091176,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:20:34.094508,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:20:44.097730,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:20:54.102055,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:21:04.103410,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:21:14.107624,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:21:24.110996,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:21:34.113441,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:21:44.116981,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:21:54.120019,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:22:04.122502,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:22:14.125669,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:22:24.129072,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:22:34.133648,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
2024-10-01T11:22:44.136877,2.3,48.1,"(252806426624, 82208710656, 170597715968, 67.5)"
